Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
How to use your Surface Pen	Surface Devices Surface [More...](javascript:)[Less](javascript:)\n\nInteract with your Surface in new ways using Surface Pen. If you're not sure which pen you have, go to [Identify your Surface Pen and features](https://support.microsoft.com/en-us/surface/identify-your-surface-pen-and-features-c82a0208-2e35-b347-dae0-d7f4922edc77). \n\nHere's an overview of what you can do with your pen.\n\nNote: \n\nThis video is only available in English.	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[{"DisplayOrder":0,"QnaId":92,"Qna":null,"DisplayText":"Write and draw"},{"DisplayOrder":1,"QnaId":95,"Qna":null,"DisplayText":"Navigate and click using your pen"},{"DisplayOrder":2,"QnaId":96,"Qna":null,"DisplayText":"Use the top button of your pen"},{"DisplayOrder":3,"QnaId":99,"Qna":null,"DisplayText":"Customize your pen"},{"DisplayOrder":4,"QnaId":103,"Qna":null,"DisplayText":"Try these apps with your pen"}]	91
Write and draw	Use your Surface Pen in any app that supports inking. To see which apps to start with, go to the section [Try these apps with your Pen](#bkmk_trytheseapps).	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[{"ClusterHead":"can i draw with surface pen","TotalAutoSuggestedCount":10,"TotalUserSuggestedCount":2,"AlternateQuestionList":[{"Question":"can i draw with surface pen","AutoSuggestedCount":10,"UserSuggestedCount":2}]},{"ClusterHead":"how to write with surface pen","TotalAutoSuggestedCount":10,"TotalUserSuggestedCount":2,"AlternateQuestionList":[{"Question":"how to write with surface pen","AutoSuggestedCount":10,"UserSuggestedCount":2}]}]	False	[{"DisplayOrder":0,"QnaId":93,"Qna":null,"DisplayText":"Start inking with your pen"},{"DisplayOrder":1,"QnaId":94,"Qna":null,"DisplayText":"Enter text with your pen"}]	92
draw with your pen	Use your Surface Pen in any app that supports inking. To see which apps to start with, go to the section [Try these apps with your Pen](#bkmk_trytheseapps).	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[{"ClusterHead":"can i draw with surface pen","TotalAutoSuggestedCount":10,"TotalUserSuggestedCount":2,"AlternateQuestionList":[{"Question":"can i draw with surface pen","AutoSuggestedCount":10,"UserSuggestedCount":2}]},{"ClusterHead":"how to write with surface pen","TotalAutoSuggestedCount":10,"TotalUserSuggestedCount":2,"AlternateQuestionList":[{"Question":"how to write with surface pen","AutoSuggestedCount":10,"UserSuggestedCount":2}]}]	False	[{"DisplayOrder":0,"QnaId":93,"Qna":null,"DisplayText":"Start inking with your pen"},{"DisplayOrder":1,"QnaId":94,"Qna":null,"DisplayText":"Enter text with your pen"}]	92
Start inking with your pen	Rest your hand on the screen, like you would on a piece of paper, then start writing. Your Surface is designed to ignore your hand and other inputs while you write. Use the pointer that appears under your pen tip to guide you while you ink.\n\nTo erase, turn your pen over and rub the end of your pen over your writing or drawing.	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[]	93
Enter text with your pen	If you want to write instead of typing on a keyboard, you can use the touch keyboard that appears on the screen. To learn how to use it, go to [Get to know the touch keyboard](https://support.microsoft.com/en-us/windows/get-to-know-the-touch-keyboard-004f3d67-855b-27f0-6f7c-d5145f691181).	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[]	94
Navigate and click using your pen	Your pen can be used throughout Windows, similarly to how you would use a mouse or keyboard. Here are some actions you can start with. \n\n| If you want to | Do this with your pen |\n| --- | --- |\n| Click or select | Tap on an item. |\n| Right-click | Press and hold the side button, then tap on the item. |\n| Drag and drop | Place your pen on an item, and hold it there until the circle around the pointer completes. Then move the item to where you want it to go. |\n| Select multiple items | Presss and hold the side button, then drag your pen over the items you want to select. |\n\nNote: \n\nSome actions vary based on the app or feature of Windows you're using.	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[]	95
Use the top button of your pen	Please try with a different keyword	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[{"DisplayOrder":0,"QnaId":97,"Qna":null,"DisplayText":"Pair Surface Pen"},{"DisplayOrder":1,"QnaId":98,"Qna":null,"DisplayText":"Use top button shortcuts"}]	96
Pair Surface Pen	Your pen uses Bluetooth to pair with your Surface. Here's how:\n\n1.  Go to **Start  **> **Settings  **> **Devices  **>** Add Bluetooth or other device  **> **Bluetooth **.\n\n1.  Press and hold the top button of your pen for 5-7 seconds until the LED flashes white to turn on Bluetooth pairing mode.\n\n1.  Select your pen to pair it to your Surface.	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[]	97
Use top button shortcuts	Once your pen is paired, you'll be able to use the top button. The top button does different things depending on how you interact with the button. To change these shortcuts, go to **Start  **> **Settings  **> **Devices  **> **Pen & Windows Ink **. \n\n| If you want to | Do this with your pen |\n| --- | --- |\n| Open Microsoft Whiteboard | Click the top button once. |\n| Open Snip & Sketch | Double-click the top button. |\n| Open Sticky Notes | Press and hold the top button. |	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[]	98
Customize your pen	Please try with a different keyword	https://support.microsoft.com/en-us/surface/how-to-use-your-surface-pen-8a403519-cd1f-15b2-c9df-faa5aa924e98		[]	False	[{"DisplayOrder":0,"QnaId":100,"Qna":null,"DisplayText":"Change pen settings"},{"DisplayOrder":1,"QnaId":101,"Qna":null,"DisplayText":"Check battery level"},{"DisplayOrder":2,"QnaId":102,"Qna":null,"DisplayText":"Change pen tips"}]	99
